Shaker Number,2,Box/Tub Number,Number of pieces,From who if gifted,Where,,How much Grandma paid for them,Theme,Jess Keepers?
711,Orange and green plastic with tribal man with tent and antlered deer?,1,2,Junk from Marge Pemrich (Day Care),N/A,07/1996,,,No
644,Glass (tall) plain with silver tops,1,2,Labor Day Flea Market,Suring,09-03-1994,,,No
97,"Holly (marking on bottom says 1969,  Sticker says Lefton TM",1,2,N/A,N/A,1969,,Christmas,Maybe
65,Hillbilly sitting on bench with jug of moonshine,1,3,N/A,Tennessee,1969,,,Value
755,California with picture of oranges,1,2,Good will in CA,CA,4-25-2000,$1.28,State,No
687,"Cowboy hat and boot.  Hat has ""Branson MO"" written on it",1,2,,"Branson, MO",5-24-1998,$1.89,Location,No
96,Lefton Mr. and Mrs. Claus,1,2,,,1969,,Christmas,No
735,"*Marked as 736, but in book as 735*. St. Louis tan and brown with gateway arch",1,2,Abe Estreen,,03-1999,,State,No
712,"Clay Pottery, glazed.  Underneath says ""Idaho Clay & Glaze Wendt Pottery 1992""",1,2,Barb Schuettpelz,Idaho,08-1996,,Location,No
654,"Mailbox with Birds, very large.  Enesco sticker, bottom says E-3200",1,2,Rummage Sale,,1994,,,No
386,Witches riding broomsticks,1,2,Barb Schuettpelz,,05-1982,,Halloween,No
870,"Ceramic Missouri ""American Series""",1,2,,Bagnell Dam,5-17-2003,$3.00,State,No
528,Ceramic Witches in yellow dress with broomstick,1,2,,"Shawno, WI",7-8-1987,$2.00,Halloween,No
235,"Hearts with flowers ""My love for you is ever True"", Enesco sticker",1,2,Louie and Joyce (24th anniversary),,1975,,,No
645,Ceramic Ghosts holding pumpkins,A,2,,Appleton Kohls,9-19-1994,$6.99,Halloween,No
694,Pumpkins with black cats.  Loomco Sticker,1,2,,Marinette Budget Store,8-31-1998,$1.49,Halloween,No
438,"Repeat of 65, differs from log book.  Grand Ole Opry Sticker",A,3,,,???,,,Value
743,Glass with silver tops (old),1,2,,Flea Market Clam Lake,6-25-1999,$0.25,,No
527,Snowmen,1,2,,Flea Market Shawno,7-4-1987,$2.00,Christmas,No
829,"Ceramic Owls, with creamer pitcher? Bottom says Mary Ann Baker",A,3,Barb and Ken Janke (51st Anniversary),,6-23-2002,,,Yes
734,Wisconsin Badgers with old W logo,1,2,"Pam, Dennis, Jennifer and Jessica Staude",,12-1998,,Sports,Maybe
421,"Silver round balls, a large and small.  Large does have a dent in it.",1,2,Lyle Stengel (old ones of his mothers),,08-1983,,,Value
431,Turkey on a platter,1,2,Ron and Sophie Kuss,,11-1983,,Thanksgiving,Yes
238,"Boy carrying wood, girl carrying wheat.  Artmart sticker",1,2,,"Soo, MI",1975,,,No
21,"Tree stumps, Treasure Craft, made in USA",1,2,,Michigan,1968,,,Value
260,"Cornstalk Dolls wearing apron ""Bless This House"", Manler 1973",1,2,,Shawno,1976,$1.00,,Value
128,Turkeys,1,2,Mary Hasselquist,,1971,,Thanksgiving,Value
780,"Snowmen, Let it Snow written across each",A,2,,Dollar Tree Shawno,11-19-2000,$1.00,Christmas,No
492,"Brown Tiki Men, glass",1,2,Louie & Joyce,Florida,04-1985,,,No
880,Ceramic Cats in dresses and hats,A,2,,Algoma Rummage Sale,7-12-2003,$0.25,,No
230,"Hen and Tom Turkeys, 6-5993.  National Pueblo Corp",1,2,Barb and Leon,,1975,,Thanksgiving,Value
798,White Ceramic Swans with red dots on forehead,1,2,,Flea Market Florence,7-1-2001,,,No
811,"Brown/White stoneware, with votive holder",1,3,,"Soo, MI",8-22-2001,$1.00,,No
553,"Pilgrim Squirrels, Hallmark",1,2,Randy and Mary,,11-24-1988,,Thanksgiving,No
474,"Avon, White glass with flowers (marked as ""old"")",1,2,,Rummage Sale Marinette,1984,$2.50,,No
819,Beehives,1,2,,"Ben Franklin, Greenfield, WI",11-19-2001,$1.00,,No
699,Florida emblem covered with pink shells,1,2,,"Sidewalk Sale, Suring",6-28-1995,$1.00,State,No
703,"Souvineer of Reno, NV sticker, partially off.  Woman hugging barrels",1,2,,"Flea Market, Shawno",8-18-1995,,Location,No
576,"Bear pilgrims, Enesco logo",1,2,,"Cash Liquidators, Shawno",3-23-1990,$1.49,Thanksgiving,No
882,Killer Whales (marked dolphins in book),1,2,Jennifer,From antique sale?,11-7-2003,,,No
357,"White Pitchers -C-7353, Napcoware sticker",1,2,,Gillet Rummage,3-27-1980,$1.50,,No
323,Sumo wrestlers.  One missing arm.  Worn,1,3,,"Flea Market, Escanaba, MI",7-1978,$0.50,,No
487,"Black painted roosters, Sonsco sticker",1,2,Marian Dzurick,,12-1984,,,Yes
252,"White Milk Cans, Enesco sticker, Rockwell scenes, Christmas",1,2,Maynard Schuettpelz,,1975,$2.89,Christmas,Maybe
372,Shiny glass hen and tom turkeys,1,2,,"Flea Market, MN",1981,$0.50,Thanksgiving,Yes
290,Painted barrels with flowers - Painted by Pam!,1,2,Pam Schuettpelz,,12-1976,,,Maybe
581,White with orange shells,1,2,Randy and Mary Schuettpelz,"Virginia Beach, VA",6-19-1990,,,No
369,Girls skirts with bow and feet.  Enesco sticker,1,2,"Louie & Joyce, 30th anniversary",,6-1981,,,No
343,Japanese people,1,2,,"Sault St. Marie, MI",6-11-1979,$0.69,,No
634,pine cones,1,2,Barb Schuettpelz (62nd birthday),,3-8-1994,,,No
298,Cream colored pitchers with blue flowers,1,2,,"Mackinaw City, MI",1977,$1.65,,Value
422,Pink Daisies (glass) 660 etched on each one,1,2,,Farm & Home Shawano,09-1983,$1.50,,Value
415,Japan people in burgundy hat and shirt,1,2,,Shawano Flea Market,5-28-1983,$1.25,,No
